code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00241,阿里健康,2025-08-14,4.9251,4.8551,4.9551,4.7751,52.916,0.00619,99842643.0,509461042.0,-1.2207279607739336,4.9151
HK.00241,阿里健康,2025-08-15,4.8451,5.1051,5.2751,4.8251,55.52,0.0209,336994455.0,1795124679.0,5.1492245267862655,4.8551
HK.00241,阿里健康,2025-08-18,5.1751,5.2951,5.4451,5.0751,57.5,0.0154,248379263.0,1369520205.0,3.7217684276507708,5.1051
HK.00241,阿里健康,2025-08-19,5.3051,5.1551,5.3951,5.1251,56.041,0.01004,161879983.0,884340171.0,-2.6439538441200297,5.2951
HK.00241,阿里健康,2025-08-20,5.1251,5.1151,5.1751,4.9451,55.625,0.00722,116477937.0,616215206.0,-0.7759306318015177,5.1551
HK.00241,阿里健康,2025-08-21,5.1651,5.2851,5.3751,5.1151,57.395,0.01064,171530869.0,944012731.0,3.323493186838965,5.1151
HK.00241,阿里健康,2025-08-22,5.3251,5.2851,5.3451,5.2051,57.395,0.0065,104779895.0,575638584.0,0.0,5.2851
HK.00241,阿里健康,2025-08-25,5.3651,5.4851,5.4951,5.3651,59.479,0.01022,164704937.0,934806141.0,3.784223571928633,5.2851
HK.00241,阿里健康,2025-08-26,5.4651,5.4651,5.5151,5.4051,59.27,0.00568,91660575.0,521158154.0,-0.364624163643333,5.4851
HK.00241,阿里健康,2025-08-27,5.5051,5.1951,5.5051,5.1551,56.458,0.00807,130175443.0,716519285.0,-4.94044024811988,5.4651
HK.00241,阿里健康,2025-08-28,5.1851,5.1551,5.2551,5.0251,56.041,0.00624,100682050.0,540524950.0,-0.7699563049796931,5.1951
HK.00241,阿里健康,2025-08-29,5.1751,5.2351,5.2751,5.1151,56.875,0.00472,76075919.0,413905459.0,1.5518612636030353,5.1551
HK.00241,阿里健康,2025-09-01,5.4851,5.6151,5.7051,5.3951,60.833,0.0161,259667463.0,1504400062.0,7.258696108956847,5.2351
HK.00241,阿里健康,2025-09-02,5.6751,5.8851,6.0251,5.6151,63.645,0.01847,297867924.0,1808517471.0,4.808462894694671,5.6151
HK.00241,阿里健康,2025-09-03,5.9151,6.1651,6.3151,5.8751,66.562,0.0184,296731608.0,1886766288.0,4.75777811761906,5.8851
HK.00241,阿里健康,2025-09-04,6.2251,6.2651,6.5251,6.1051,67.604,0.02308,372090646.0,2429848228.0,1.6220337058604164,6.1651
HK.00241,阿里健康,2025-09-05,6.2651,6.2651,6.3351,6.0351,67.604,0.01098,177054563.0,1140533205.0,0.0,6.2651
HK.00241,阿里健康,2025-09-08,6.2751,6.2651,6.3751,6.0651,67.604,0.00877,141458062.0,908004759.0,0.0,6.2651
HK.00241,阿里健康,2025-09-09,6.2851,6.9151,6.9551,6.2651,74.375,0.02011,324289412.0,2251375203.0,10.374934159071673,6.2651
HK.00241,阿里健康,2025-09-10,6.9151,6.9051,7.2651,6.7851,74.27,0.01909,307871620.0,2231419941.0,-0.1446110685311823,6.9151
HK.00241,阿里健康,2025-09-11,6.7751,6.9751,7.0151,6.6251,75.0,0.01015,163701745.0,1161053111.0,1.0137434649751673,6.9051
HK.00241,阿里健康,2025-09-12,7.2151,6.7851,7.2751,6.7151,73.02,0.01224,197418947.0,1408993956.0,-2.723975283508486,6.9751
HK.00241,阿里健康,2025-09-15,6.8151,6.7151,6.8751,6.5551,72.291,0.0103,166139126.0,1148999099.0,-1.0316723408645456,6.7851
HK.00241,阿里健康,2025-09-16,6.7751,6.4451,6.7751,6.3251,69.479,0.01136,183152867.0,1223378179.0,-4.020788968146411,6.7151
HK.00241,阿里健康,2025-09-17,6.4751,6.6251,6.7351,6.3551,71.354,0.01095,176565143.0,1198425731.0,2.7928193511349666,6.4451
HK.00241,阿里健康,2025-09-18,6.6251,6.4351,6.6651,6.2751,69.375,0.01119,180483388.0,1201900950.0,-2.8678812395284528,6.6251
HK.00241,阿里健康,2025-09-19,6.4651,6.4151,6.5051,6.3151,69.166,0.00674,108722056.0,719697070.0,-0.3107954810337129,6.4351
HK.00241,阿里健康,2025-09-22,6.4151,6.3351,6.5251,6.2751,68.333,0.0062,100022747.0,659620362.0,-1.2470577231843631,6.4151
HK.00241,阿里健康,2025-09-23,6.3351,6.2751,6.3951,6.1951,67.708,0.00548,88437084.0,574611822.0,-0.9471042288203755,6.3351
HK.00241,阿里健康,2025-09-24,6.2951,6.3751,6.5051,6.2251,68.75,0.00844,136081426.0,898331112.0,1.5936001019904007,6.2751
