code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,腾讯控股,2025-08-13,562.7,580.7,580.7,560.7,25.595,0.00411,37596415.0,21761779473.0,4.781667268134247,554.2
HK.00700,腾讯控股,2025-08-14,594.7,584.7,594.7,583.7,25.817,0.00396,36339315.0,21598286488.0,0.6888238333046323,580.7
HK.00700,腾讯控股,2025-08-15,581.7,586.7,591.2,579.2,25.904,0.00242,22176876.0,13122452831.0,0.3420557550880793,584.7
HK.00700,腾讯控股,2025-08-18,588.7,581.7,590.7,581.7,25.687,0.00192,17590658.0,10403063174.0,-0.8522243054371911,586.7
HK.00700,腾讯控股,2025-08-19,582.7,587.2,591.7,577.7,25.928,0.00178,16359474.0,9665673921.0,0.9455045556128588,581.7
HK.00700,腾讯控股,2025-08-20,583.7,585.2,589.2,580.2,25.841,0.00174,15952765.0,9407128004.0,-0.3405994550408719,587.2
HK.00700,腾讯控股,2025-08-21,585.2,587.7,591.7,584.2,25.95,0.00156,14290178.0,8479961596.0,0.4272043745727956,585.2
HK.00700,腾讯控股,2025-08-22,593.7,594.7,601.2,590.2,26.257,0.00211,19378950.0,11636897211.0,1.1910838863365665,587.7
HK.00700,腾讯控股,2025-08-25,603.2,609.2,615.7,602.7,26.892,0.0028,25694519.0,15801902006.0,2.438204136539432,594.7
HK.00700,腾讯控股,2025-08-26,606.7,604.2,612.7,604.2,26.675,0.00225,20656474.0,12655282002.0,-0.8207485226526592,609.2
HK.00700,腾讯控股,2025-08-27,607.7,593.7,609.2,589.7,26.215,0.00232,21263402.0,12841741312.0,-1.737835153922542,604.2
HK.00700,腾讯控股,2025-08-28,589.7,588.7,593.7,584.7,25.996,0.00237,21712370.0,12897917091.0,-0.8421761832575375,593.7
HK.00700,腾讯控股,2025-08-29,590.2,591.2,599.7,588.7,26.106,0.00199,18234935.0,10915508651.0,0.4246645150331238,588.7
HK.00700,腾讯控股,2025-09-01,599.7,599.7,604.7,596.2,26.479,0.00174,15958837.0,9659266534.0,1.4377537212449256,591.2
HK.00700,腾讯控股,2025-09-02,600.2,595.2,603.2,593.7,26.282,0.00161,14808157.0,8931988423.0,-0.7503751875937968,599.7
HK.00700,腾讯控股,2025-09-03,601.2,593.2,607.7,590.7,26.194,0.00169,15523985.0,9342307314.0,-0.33602150537634407,595.2
HK.00700,腾讯控股,2025-09-04,599.7,587.2,599.7,585.7,25.933,0.00196,18003934.0,10709235662.0,-1.0114632501685772,593.2
HK.00700,腾讯控股,2025-09-05,594.2,600.2,603.7,590.2,26.502,0.00208,19047729.0,11491491838.0,2.2138964577656672,587.2
