code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00300,美的集团,2025-08-14,75.48574,76.08574,76.38574,75.08574,14.939,0.00603,3923911.0,317082280.0,0.7948521137899612,75.48574
HK.00300,美的集团,2025-08-15,75.88574,75.83574,75.93574,75.18574,14.893,0.00702,4566667.0,368622037.0,-0.3285766820431792,76.08574
HK.00300,美的集团,2025-08-18,76.08574,76.03574,76.58574,75.48574,14.929,0.00736,4790303.0,387596916.0,0.26372789399826896,75.83574
HK.00300,美的集团,2025-08-19,77.83574,77.68574,78.68574,75.93574,15.234,0.01291,8399280.0,689151966.0,2.1700321454095026,76.03574
HK.00300,美的集团,2025-08-20,77.68574,76.48574,77.68574,75.63574,15.012,0.00492,3201877.0,259811874.0,-1.544685034859665,77.68574
HK.00300,美的集团,2025-08-21,76.48574,76.98574,77.58574,75.98574,15.105,0.00649,4220077.0,345128403.0,0.6537166274393108,76.48574
HK.00300,美的集团,2025-08-22,77.08574,76.23574,77.43574,75.28574,14.966,0.00557,3622702.0,292806705.0,-0.9742063919889579,76.98574
HK.00300,美的集团,2025-08-25,76.98574,79.03574,79.08574,76.73574,15.483,0.00992,6455530.0,535962245.0,3.6728180247217344,76.23574
HK.00300,美的集团,2025-08-26,79.08574,78.38574,79.53574,78.23574,15.363,0.00782,5089307.0,426278222.0,-0.8224127464359866,79.03574
HK.00300,美的集团,2025-08-27,79.13574,76.58574,79.43574,76.38574,15.031,0.00841,5472333.0,451535093.0,-2.296336042754712,78.38574
HK.00300,美的集团,2025-08-28,77.08574,76.68574,77.38574,75.98574,15.049,0.00597,3883512.0,316904580.0,0.1305726105146915,76.58574
HK.00300,美的集团,2025-08-29,77.58574,76.83574,78.93574,76.68574,15.077,0.00828,5387121.0,444987563.0,0.19560351116127417,76.68574
HK.00300,美的集团,2025-09-01,78.38574,78.98574,80.58574,77.73574,15.473,0.00999,6497257.0,545052590.0,2.798176994195677,76.83574
HK.00300,美的集团,2025-09-02,79.93574,81.88574,82.88574,79.18574,16.008,0.01582,10295120.0,890193682.0,3.671548813747888,78.98574
HK.00300,美的集团,2025-09-03,82.98574,79.43574,82.98574,79.28574,15.562,0.00548,3566673.0,303848922.0,-2.991973938319423,81.88574
HK.00300,美的集团,2025-09-04,80.43574,78.43574,80.43574,78.18574,15.378,0.00738,4799157.0,401757538.0,-1.2588791896443592,79.43574
HK.00300,美的集团,2025-09-05,79.58574,81.58574,81.58574,79.48574,15.959,0.01061,6896238.0,592344894.0,4.016026367571729,78.43574
HK.00300,美的集团,2025-09-08,81.73574,82.43574,82.73574,80.88574,16.116,0.00628,4083807.0,354895114.0,1.0418487348401748,81.58574
HK.00300,美的集团,2025-09-09,83.08574,82.38574,83.28574,81.63574,16.109,0.00608,3952717.0,345269961.0,-0.06065330401594886,82.43574
HK.00300,美的集团,2025-09-10,82.18574,81.78574,82.53574,81.13574,15.999,0.00292,1895585.0,164344610.0,-0.7282813749078352,82.38574
