code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02577,英诺赛科,2025-08-14,69.25,69.05,70.95,67.45,0.0,0.017,8581731.0,593371905.0,0.14503263234226876,68.95
HK.02577,英诺赛科,2025-08-15,70.5,81.05,83.4,68.85,0.0,0.04576,23103284.0,1719059498.0,17.378711078928312,69.05
HK.02577,英诺赛科,2025-08-18,81.05,82.25,86.7,77.1,0.0,0.03432,17323894.0,1437809829.0,1.480567550894513,81.05
HK.02577,英诺赛科,2025-08-19,82.05,78.65,84.15,76.7,0.0,0.01625,8203820.0,656092002.0,-4.376899696048625,82.25
HK.02577,英诺赛科,2025-08-20,76.0,75.6,78.1,72.8,0.0,0.01762,8896988.0,668137757.0,-3.8779402415766198,78.65
HK.02577,英诺赛科,2025-08-21,76.0,75.45,77.6,73.2,0.0,0.01354,6835600.0,514762330.0,-0.19841269841268716,75.6
HK.02577,英诺赛科,2025-08-22,76.25,80.8,84.45,74.8,0.0,0.02419,12213966.0,976504398.0,7.090788601722988,75.45
HK.02577,英诺赛科,2025-08-25,70.0,76.8,80.0,70.0,0.0,0.0177,8937782.0,688057851.0,-4.950495049504951,80.8
HK.02577,英诺赛科,2025-08-26,78.3,81.45,83.8,77.2,0.0,0.01903,9609000.0,779349143.0,6.054687500000008,76.8
HK.02577,英诺赛科,2025-08-27,82.95,81.0,83.6,79.5,0.0,0.01365,6889701.0,561041275.0,-0.5524861878453073,81.45
HK.02577,英诺赛科,2025-08-28,80.5,93.5,94.5,77.7,0.0,0.03475,17543343.0,1518852301.0,15.432098765432098,81.0
HK.02577,英诺赛科,2025-08-29,91.0,86.55,91.7,86.4,0.0,0.01842,9299610.0,823557368.0,-7.433155080213908,93.5
HK.02577,英诺赛科,2025-09-01,88.0,96.95,99.25,84.1,0.0,0.03522,17781958.0,1655523643.0,12.016175621028315,86.55
HK.02577,英诺赛科,2025-09-02,95.95,98.8,105.2,95.15,0.0,0.02975,15019508.0,1503892329.0,1.9082001031459455,96.95
HK.02577,英诺赛科,2025-09-03,99.95,98.45,106.1,98.2,0.0,0.01829,9233795.0,939560386.0,-0.3542510121457432,98.8
HK.02577,英诺赛科,2025-09-04,99.85,91.55,99.85,88.75,0.0,0.01712,8641920.0,801553952.0,-7.008633824276288,98.45
HK.02577,英诺赛科,2025-09-05,93.1,99.35,100.5,90.25,0.0,0.01835,9264310.0,894923602.0,8.519934462042597,91.55
HK.02577,英诺赛科,2025-09-08,100.0,98.8,100.3,96.5,0.0,0.00887,4478609.0,440694455.0,-0.553598389531955,99.35
HK.02577,英诺赛科,2025-09-09,99.1,95.8,100.0,94.35,0.0,0.00919,4640687.0,448977445.0,-3.0364372469635628,98.8
HK.02577,英诺赛科,2025-09-10,97.1,93.0,101.5,92.15,0.0,0.01457,7354800.0,718811600.0,-2.9227557411273457,95.8
HK.02577,英诺赛科,2025-09-11,94.05,101.6,104.2,92.0,0.0,0.02279,11503055.0,1150161056.0,9.247311827956983,93.0
HK.02577,英诺赛科,2025-09-12,101.7,99.6,104.3,99.0,0.0,0.01137,5740300.0,578656067.0,-1.968503937007874,101.6
HK.02577,英诺赛科,2025-09-15,102.8,97.55,103.7,96.0,0.0,0.01073,5418800.0,534379697.0,-2.058232931726905,99.6
HK.02577,英诺赛科,2025-09-16,97.55,97.35,99.0,95.35,0.0,0.00774,3908600.0,379018705.0,-0.205023065094826,97.55
HK.02577,英诺赛科,2025-09-17,97.85,96.8,99.5,95.45,0.0,0.00845,4265100.0,414247340.0,-0.5649717514124265,97.35
HK.02577,英诺赛科,2025-09-18,96.95,96.5,101.5,95.1,0.0,0.01325,6689016.0,656923230.0,-0.3099173553718979,96.8
HK.02577,英诺赛科,2025-09-19,97.75,98.3,103.0,96.0,0.0,0.01578,7965390.0,791620489.0,1.865284974093261,96.5
HK.02577,英诺赛科,2025-09-22,98.3,96.4,99.6,95.95,0.0,0.00739,3731920.0,363418870.0,-1.932858596134274,98.3
HK.02577,英诺赛科,2025-09-23,99.5,97.85,101.0,96.1,0.0,0.00677,3416320.0,335372462.0,1.504149377593349,96.4
HK.02577,英诺赛科,2025-09-24,97.05,93.05,98.45,90.15,0.0,0.01167,5890406.0,554669677.0,-4.905467552376083,97.85
HK.02577,英诺赛科,2025-09-25,93.05,86.3,94.0,85.9,0.0,0.01517,7660150.0,674914694.0,-7.254164427727029,93.05
HK.02577,英诺赛科,2025-09-26,87.0,83.85,87.8,82.2,0.0,0.01225,6184043.0,521567653.0,-2.838933951332564,86.3
HK.02577,英诺赛科,2025-09-29,84.0,86.9,88.4,82.2,0.0,0.00725,3661700.0,312729015.0,3.637447823494349,83.85
HK.02577,英诺赛科,2025-09-30,86.85,87.75,88.2,84.2,0.0,0.00716,3616103.0,312694464.0,0.978135788262364,86.9
HK.02577,英诺赛科,2025-10-02,88.05,91.6,92.9,87.9,0.0,0.0034,1716615.0,157065583.0,4.387464387464381,87.75
HK.02577,英诺赛科,2025-10-03,92.0,91.85,92.3,89.2,0.0,0.00147,743100.0,67710153.0,0.27292576419213976,91.6
HK.02577,英诺赛科,2025-10-06,91.9,87.8,92.0,85.8,0.0,0.00251,1266400.0,110316402.0,-4.40936309199782,91.85
HK.02577,英诺赛科,2025-10-08,87.8,86.4,88.0,84.5,0.0,0.00161,813500.0,69587115.0,-1.5945330296127467,87.8
HK.02577,英诺赛科,2025-10-09,86.4,82.05,87.65,81.3,0.0,0.01278,6452700.0,542529434.0,-5.034722222222232,86.4
HK.02577,英诺赛科,2025-10-10,80.5,77.95,81.0,76.05,0.0,0.01111,5611200.0,437379635.0,-4.996953077391828,82.05
HK.02577,英诺赛科,2025-10-13,75.0,77.4,77.4,73.1,0.0,0.00935,4720770.0,355733920.0,-0.7055805003207147,77.95
HK.02577,英诺赛科,2025-10-14,89.0,81.2,91.8,80.9,0.0,0.02174,10976393.0,936748276.0,4.909560723514208,77.4
HK.02577,英诺赛科,2025-10-15,82.5,79.25,82.5,77.3,0.0,0.01063,5368100.0,424421890.0,-2.4014778325123185,81.2
HK.02577,英诺赛科,2025-10-16,80.95,79.8,84.35,78.65,0.0,0.01241,6266850.0,510583670.0,0.6940063091482613,79.25
HK.02577,英诺赛科,2025-10-17,79.8,72.05,79.8,71.0,0.0,0.01182,6212500.0,460302468.0,-9.711779448621554,79.8
HK.02577,英诺赛科,2025-10-20,74.65,71.0,74.65,70.4,0.0,0.00822,4319383.0,313268407.0,-1.457321304649545,72.05
HK.02577,英诺赛科,2025-10-21,71.0,71.8,74.95,71.0,0.0,0.01183,6219659.0,455438543.0,1.1267605633802777,71.0
HK.02577,英诺赛科,2025-10-22,71.55,69.0,72.3,67.75,0.0,0.00865,4546020.0,315342321.0,-3.8997214484679623,71.8
HK.02577,英诺赛科,2025-10-23,68.05,66.5,68.05,65.65,0.0,0.00735,3865100.0,256736859.0,-3.6231884057971016,69.0
HK.02577,英诺赛科,2025-10-24,67.6,70.3,71.95,67.0,0.0,0.01217,6393453.0,444083859.0,5.71428571428571,66.5
HK.02577,英诺赛科,2025-10-27,73.7,79.25,80.95,71.8,0.0,0.02528,13283400.0,1020292251.0,12.731152204836421,70.3
HK.02577,英诺赛科,2025-10-28,79.35,79.5,82.2,77.05,0.0,0.01578,8292760.0,658967345.0,0.31545741324921134,79.25
HK.02577,英诺赛科,2025-10-30,83.9,82.45,86.05,80.35,0.0,0.0181,9510600.0,793893695.0,3.7106918238993742,79.5
HK.02577,英诺赛科,2025-10-31,81.1,78.45,83.2,77.25,0.0,0.01142,6000010.0,476060147.0,-4.851425106124925,82.45
HK.02577,英诺赛科,2025-11-03,78.15,78.1,81.4,76.1,0.0,0.00685,3597510.0,282038434.0,-0.44614404079032316,78.45
HK.02577,英诺赛科,2025-11-04,79.3,75.4,80.4,75.4,0.0,0.00701,3686110.0,285644608.0,-3.457106274007668,78.1
HK.02577,英诺赛科,2025-11-05,73.0,74.2,74.85,71.7,0.0,0.00662,3479100.0,254271383.0,-1.5915119363395265,75.4
