code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02577,英诺赛科,2024-12-30 00:00:00,31.0,31.0,34.0,30.55,0.0,0.00603,2952480.0,93369652.0,0.4536616979909286,30.86
HK.02577,英诺赛科,2024-12-31 00:00:00,31.3,31.25,31.8,30.55,0.0,0.00122,595800.0,18510405.0,0.8064516129032258,31.0
HK.02577,英诺赛科,2025-01-02 00:00:00,31.0,30.85,31.3,30.7,0.0,0.0005,244000.0,7536280.0,-1.2799999999999954,31.25
HK.02577,英诺赛科,2025-01-03 00:00:00,30.8,30.7,31.0,30.55,0.0,0.00053,258900.0,7956185.0,-0.48622366288493396,30.85
HK.02577,英诺赛科,2025-01-06 00:00:00,30.7,30.55,30.95,30.55,0.0,0.0004,195600.0,6003390.0,-0.4885993485341973,30.7
HK.02577,英诺赛科,2025-01-07 00:00:00,30.55,30.85,31.95,30.55,0.0,0.0005,246500.0,7699700.0,0.98199672667758,30.55
HK.02577,英诺赛科,2025-01-08 00:00:00,30.85,30.8,30.85,30.7,0.0,7e-05,35100.0,1080565.0,-0.16207455429497797,30.85
HK.02577,英诺赛科,2025-01-09 00:00:00,30.8,33.1,33.4,30.7,0.0,0.0009,441120.0,13980930.0,7.46753246753247,30.8
HK.02577,英诺赛科,2025-01-10 00:00:00,33.1,35.0,36.75,32.65,0.0,0.00111,541060.0,18925592.0,5.7401812688821705,33.1
HK.02577,英诺赛科,2025-01-13 00:00:00,35.2,35.65,36.6,34.6,0.0,0.00048,237400.0,8480630.0,1.857142857142853,35.0
HK.02577,英诺赛科,2025-01-14 00:00:00,35.7,36.0,36.65,35.0,0.0,0.00032,158900.0,5679337.0,0.9817671809256702,35.65
HK.02577,英诺赛科,2025-01-15 00:00:00,36.0,34.5,36.3,33.55,0.0,0.00063,310000.0,10649340.0,-4.166666666666666,36.0
HK.02577,英诺赛科,2025-01-16 00:00:00,34.5,39.05,39.5,34.5,0.0,0.00099,482400.0,17765675.0,13.18840579710144,34.5
HK.02577,英诺赛科,2025-01-17 00:00:00,39.0,38.5,41.6,36.1,0.0,0.00226,1106400.0,42387500.0,-1.408450704225345,39.05
HK.02577,英诺赛科,2025-01-20 00:00:00,37.75,39.5,39.75,37.5,0.0,0.00058,285000.0,10928040.0,2.5974025974025974,38.5
HK.02577,英诺赛科,2025-01-21 00:00:00,39.0,39.55,40.0,37.65,0.0,0.00054,262100.0,10147900.0,0.12658227848100545,39.5
HK.02577,英诺赛科,2025-01-22 00:00:00,39.55,41.8,42.5,39.0,0.0,0.0004,193500.0,8061504.0,5.689001264222504,39.55
HK.02577,英诺赛科,2025-01-23 00:00:00,41.8,41.15,43.8,40.3,0.0,0.00051,247900.0,10523258.0,-1.5550239234449728,41.8
HK.02577,英诺赛科,2025-01-24 00:00:00,41.15,42.0,43.0,40.8,0.0,0.00027,130200.0,5437355.0,2.065613608748485,41.15
HK.02577,英诺赛科,2025-01-27 00:00:00,42.0,36.4,43.0,36.05,0.0,0.00583,2865900.0,105818860.0,-13.333333333333336,42.0
HK.02577,英诺赛科,2025-01-28 00:00:00,36.5,39.15,39.4,36.4,0.0,0.00065,319800.0,11933700.0,7.554945054945056,36.4
HK.02577,英诺赛科,2025-02-03 00:00:00,39.5,40.95,42.0,37.6,0.0,0.0007,345200.0,14029310.0,4.597701149425299,39.15
HK.02577,英诺赛科,2025-02-04 00:00:00,41.45,42.5,43.8,41.0,0.0,0.0004,196000.0,8378615.0,3.785103785103778,40.95
HK.02577,英诺赛科,2025-02-05 00:00:00,42.0,42.8,44.5,42.0,0.0,0.00018,86400.0,3746705.0,0.7058823529411699,42.5
HK.02577,英诺赛科,2025-02-06 00:00:00,43.1,45.95,46.2,42.85,0.0,0.00068,335520.0,14200131.0,7.3598130841121625,42.8
HK.02577,英诺赛科,2025-02-07 00:00:00,45.95,47.5,48.4,45.95,0.0,0.00025,121300.0,5739900.0,3.373231773667023,45.95
HK.02577,英诺赛科,2025-02-10 00:00:00,48.0,48.05,48.5,46.45,0.0,0.00058,285100.0,12146380.0,1.1578947368420993,47.5
