code,name,cur_price,lot_price,market_val,lot_size
HK.00241,阿里健康,3.26,6520.0,52731481145.9,2000.0
HK.06228,自由黄金-DRS,35.78,3578.0,52708827762.68,100.0
HK.00470,先导智能,31.34,3134.0,52470099741.56,100.0
HK.01099,国药控股,16.65,6660.0,51958925580.15,400.0
HK.09698,万国数据-SW,33.32,3332.0,51789360999.32,100.0
HK.02588,中银航空租赁,73.05,7305.0,50697454898.7,100.0
HK.01688,领益智造,6.24,4118.4,50670581064.48,660.0
HK.00960,龙湖集团,6.845,3422.5,48581720304.16,500.0
HK.03958,东方证券,5.68,2272.0,48260945258.56,400.0
HK.02727,上海电气,3.07,6140.0,47708173422.52,2000.0
HK.02196,复星医药,17.37,8685.0,46194825845.25,500.0
HK.00916,龙源电力,5.51,5510.0,46062587063.64,1000.0
HK.00486,俄铝,3.0,3000.0,45579044586.0,1000.0
HK.01071,华电国际电力股份,3.92,7840.0,45518154801.28,2000.0
HK.06198,青岛港,6.96,6960.0,45178056000.0,1000.0
HK.01530,三生制药,17.83,8915.0,45104888200.96,500.0
HK.00023,东亚银行,17.01,3402.0,44979661372.59,200.0
HK.03898,时代电气,33.6,3360.0,44711634643.2,100.0
HK.02039,中集集团,8.315,831.5,44173761660.275,100.0
HK.00991,大唐发电,2.37,4740.0,43860903894.48,2000.0
HK.02726,瀚天天成,102.7,5135.0,43707559987.0,50.0
HK.02607,上海医药,11.67,1167.0,43276582311.03,100.0
HK.02577,英诺赛科,46.74,4674.0,42771804521.22,100.0
HK.00656,复星国际,5.235,2617.5,42543912091.59,500.0
HK.03668,兖煤澳大利亚,32.14,3214.0,42438923505.18,100.0
HK.09880,优必选,83.9,4195.0,42235375194.7,50.0
HK.00008,电讯盈科,5.42,5420.0,41992872847.56,1000.0
HK.03396,联想控股,17.78,1778.0,41893785402.0,100.0
HK.02208,金风科技,9.9,1980.0,41781451605.3,200.0
HK.00868,信义玻璃,9.16,9160.0,40555216169.36,1000.0
HK.06963,阳光保险,3.395,1697.5,39047668887.5,500.0
HK.02282,美高梅中国,10.26,4104.0,38989964800.26,400.0
HK.00151,中国旺旺,3.3,3300.0,38782765345.5,1000.0
