code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02726,瀚天天成,2026-03-30 00:00:00,110.0,103.0,116.0,92.3,3322.58,0.02078,2471710.0,258528935.0,35.064253868345126,76.26
HK.02726,瀚天天成,2026-03-31 00:00:00,102.0,94.6,102.8,92.4,3051.612,0.0023,273750.0,26225610.0,-8.155339805825248,103.0
HK.02726,瀚天天成,2026-04-01 00:00:00,94.6,107.9,111.5,94.6,3480.645,0.00224,265850.0,28355600.0,14.059196617336164,94.6
HK.02726,瀚天天成,2026-04-02 00:00:00,106.9,106.7,114.7,105.0,3441.935,0.00188,223350.0,24719000.0,-1.1121408711770184,107.9
HK.02726,瀚天天成,2026-04-08 00:00:00,106.8,111.0,111.9,99.9,3580.645,0.00166,197050.0,21116330.0,4.029990627928769,106.7
HK.02726,瀚天天成,2026-04-09 00:00:00,111.2,115.3,122.0,109.6,3719.354,0.00271,322500.0,37492325.0,3.873873873873871,111.0
HK.02726,瀚天天成,2026-04-10 00:00:00,115.3,112.6,117.4,107.7,3632.258,0.00135,160500.0,17979945.0,-2.3417172593235067,115.3
HK.02726,瀚天天成,2026-04-13 00:00:00,112.0,119.3,122.0,109.0,3848.387,0.00214,254250.0,29826885.0,5.950266429840145,112.6
HK.02726,瀚天天成,2026-04-14 00:00:00,119.3,116.0,120.5,115.0,3741.935,0.00183,217150.0,25555205.0,-2.7661357921207017,119.3
HK.02726,瀚天天成,2026-04-15 00:00:00,115.0,106.6,117.5,101.2,3438.709,0.00221,262850.0,29204585.0,-8.103448275862075,116.0
HK.02726,瀚天天成,2026-04-16 00:00:00,106.6,110.2,110.2,104.6,3554.838,0.00167,198750.0,21416230.0,3.3771106941838736,106.6
HK.02726,瀚天天成,2026-04-17 00:00:00,110.0,109.5,111.0,105.7,3532.258,0.00153,181450.0,19632805.0,-0.6352087114337593,110.2
HK.02726,瀚天天成,2026-04-20 00:00:00,109.7,109.6,115.0,107.7,3535.483,0.00199,236100.0,26095020.0,0.09132420091323681,109.5
HK.02726,瀚天天成,2026-04-21 00:00:00,109.4,113.4,115.0,108.6,3658.064,0.00162,192400.0,21323415.0,3.4671532846715434,109.6
HK.02726,瀚天天成,2026-04-22 00:00:00,112.0,107.7,113.4,105.4,3474.193,0.00176,208750.0,22550287.0,-5.026455026455029,113.4
HK.02726,瀚天天成,2026-04-23 00:00:00,107.7,105.6,109.6,103.3,3406.451,0.00146,173300.0,18474400.0,-1.9498607242339914,107.7
HK.02726,瀚天天成,2026-04-24 00:00:00,105.0,107.4,108.8,105.0,3464.516,0.00135,160350.0,17200455.0,1.7045454545454655,105.6
HK.02726,瀚天天成,2026-04-27 00:00:00,107.5,111.0,116.2,105.1,3580.645,0.00213,253150.0,28180300.0,3.351955307262564,107.4
HK.02726,瀚天天成,2026-04-28 00:00:00,111.1,105.7,113.6,104.1,3409.677,0.002,238350.0,25979325.0,-4.774774774774772,111.0
HK.02726,瀚天天成,2026-04-29 00:00:00,105.8,104.2,109.2,103.8,3361.29,0.00239,284000.0,30185620.0,-1.4191106906338693,105.7
HK.02726,瀚天天成,2026-04-30 00:00:00,104.3,103.6,107.8,100.1,3341.935,0.0019,226500.0,23426695.0,-0.5758157389635399,104.2
HK.02726,瀚天天成,2026-05-04 00:00:00,104.0,107.1,109.7,102.2,3454.838,0.00192,228550.0,24606095.0,3.3783783783783785,103.6
HK.02726,瀚天天成,2026-05-05 00:00:00,107.2,109.9,110.6,105.1,3545.161,0.00196,233050.0,25117910.0,2.614379084967331,107.1
HK.02726,瀚天天成,2026-05-06 00:00:00,109.9,105.5,109.9,103.3,3403.225,0.00205,243950.0,25995640.0,-4.003639672429486,109.9
HK.02726,瀚天天成,2026-05-07 00:00:00,105.8,116.4,118.0,105.8,3754.838,0.00279,331750.0,36892415.0,10.331753554502376,105.5
HK.02726,瀚天天成,2026-05-08 00:00:00,116.5,113.4,116.5,111.2,3658.064,0.00197,234550.0,26554443.0,-2.5773195876288657,116.4
HK.02726,瀚天天成,2026-05-11 00:00:00,113.2,110.0,117.5,109.0,3548.387,0.00196,233000.0,26324435.0,-2.9982363315696694,113.4
HK.02726,瀚天天成,2026-05-12 00:00:00,110.3,109.5,113.0,109.0,3532.258,0.00108,128750.0,14355100.0,-0.45454545454545453,110.0
HK.02726,瀚天天成,2026-05-13 00:00:00,109.8,108.4,109.8,102.2,3496.774,0.00141,167150.0,17662050.0,-1.004566210045657,109.5
