code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02333,长城汽车,2018-01-02 00:00:00,5.97649,6.44649,6.55649,5.96649,7.447,0.04714,146100603.0,1397437344.0,11.213682763189437,5.79649
HK.02333,长城汽车,2018-01-03 00:00:00,6.44649,6.49649,6.74649,6.44649,7.486,0.02071,64182690.0,625308065.0,0.7756158777877546,6.44649
HK.02333,长城汽车,2018-01-04 00:00:00,6.58649,6.65649,6.72649,6.47649,7.61,0.01466,45429808.0,445168315.0,2.462868410480123,6.49649
HK.02333,长城汽车,2018-01-05 00:00:00,6.74649,6.63649,6.74649,6.57649,7.595,0.01012,31359846.0,307477891.0,-0.30045865012941614,6.65649
HK.02333,长城汽车,2018-01-08 00:00:00,6.74649,6.81649,7.04649,6.68649,7.734,0.0246,76257938.0,764554857.0,2.7122771223945144,6.63649
HK.02333,长城汽车,2018-01-09 00:00:00,6.86649,6.90649,7.12649,6.80649,7.804,0.01898,58829107.0,593973713.0,1.3203276172927687,6.81649
HK.02333,长城汽车,2018-01-10 00:00:00,6.33649,6.29649,6.54649,6.21649,7.331,0.0402,124596576.0,1184438402.0,-8.832272254068267,6.90649
HK.02333,长城汽车,2018-01-11 00:00:00,6.24649,6.26649,6.34649,6.16649,7.307,0.01623,50294626.0,472536782.0,-0.4764559302087392,6.29649
HK.02333,长城汽车,2018-01-12 00:00:00,6.26649,6.31649,6.51649,6.26649,7.346,0.01254,38858411.0,370721664.0,0.7978948342692612,6.26649
HK.02333,长城汽车,2018-01-15 00:00:00,6.48649,6.29649,6.50649,6.16649,7.331,0.01083,33557500.0,317912515.0,-0.3166315469509106,6.31649
HK.02333,长城汽车,2018-01-16 00:00:00,6.28649,6.37649,6.41649,6.16649,7.393,0.0083,25737500.0,244332630.0,1.2705491472232953,6.29649
HK.02333,长城汽车,2018-01-17 00:00:00,6.33649,6.37649,6.38649,6.01649,7.393,0.01198,37128578.0,349089487.0,0.0,6.37649
HK.02333,长城汽车,2018-01-18 00:00:00,6.42649,6.27649,6.42649,6.09649,7.315,0.01608,49852751.0,468062376.0,-1.568260908430822,6.37649
HK.02333,长城汽车,2018-01-19 00:00:00,6.24649,6.35649,6.41649,6.21649,7.377,0.00861,26687000.0,252860194.0,1.2745977449179409,6.27649
HK.02333,长城汽车,2018-01-22 00:00:00,6.36649,6.31649,6.47649,6.24649,7.346,0.01022,31662330.0,301090942.0,-0.6292781078865858,6.35649
HK.02333,长城汽车,2018-01-23 00:00:00,6.39649,6.40649,6.60649,6.30649,7.416,0.01587,49200200.0,472499714.0,1.4248419612791259,6.31649
HK.02333,长城汽车,2018-01-24 00:00:00,6.34649,6.41649,6.46649,6.25649,7.424,0.01136,35222492.0,335036575.0,0.1560917132470321,6.40649
HK.02333,长城汽车,2018-01-25 00:00:00,6.41649,6.25649,6.42649,6.16649,7.3,0.01683,52151500.0,492213085.0,-2.4935751477832784,6.41649
HK.02333,长城汽车,2018-01-26 00:00:00,6.25649,6.23649,6.44649,6.20649,7.284,0.01408,43655659.0,413227212.0,-0.3196680566899405,6.25649
HK.02333,长城汽车,2018-01-29 00:00:00,6.30649,6.46649,6.74649,6.30649,7.463,0.02696,83577107.0,813083986.0,3.687971920102501,6.23649
HK.02333,长城汽车,2018-01-30 00:00:00,6.58649,6.56649,6.72649,6.44649,7.54,0.01689,52366050.0,511768415.0,1.5464340005165034,6.46649
HK.02333,长城汽车,2018-01-31 00:00:00,6.58649,6.39649,6.61649,6.27649,7.408,0.01258,38979568.0,372804011.0,-2.5889021379762998,6.56649
HK.02333,长城汽车,2018-02-01 00:00:00,6.33649,6.24649,6.44649,6.15649,7.292,0.01261,39070873.0,367312412.0,-2.345036105739247,6.39649
HK.02333,长城汽车,2018-02-02 00:00:00,6.17649,6.20649,6.28649,6.04649,7.261,0.01009,31276903.0,291157230.0,-0.640359625965943,6.24649
HK.02333,长城汽车,2018-02-05 00:00:00,6.09649,6.09649,6.14649,5.86649,7.176,0.00962,29815957.0,274330833.0,-1.772338310381543,6.20649
HK.02333,长城汽车,2018-02-06 00:00:00,5.73649,5.68649,5.84649,5.49649,6.858,0.02831,87742649.0,773615701.0,-6.725181210827872,6.09649
HK.02333,长城汽车,2018-02-07 00:00:00,5.76649,5.51649,6.10649,5.46649,6.726,0.01689,52351932.0,461309107.0,-2.9895418790853396,5.68649
HK.02333,长城汽车,2018-02-08 00:00:00,5.64649,5.68649,5.77649,5.55649,6.858,0.01376,42655202.0,377001235.0,3.0816696848902096,5.51649
HK.02333,长城汽车,2018-02-09 00:00:00,5.34649,5.44649,5.52649,5.16649,6.671,0.01798,55729733.0,473918378.0,-4.220529711649896,5.68649
