code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.82333,长城汽车-R,2023-06-19 00:00:00,8.36,8.34,8.36,8.34,8.571,0.0,2000.0,16695.0,-0.7497322384862621,8.403
HK.82333,长城汽车-R,2023-06-20 00:00:00,8.2,8.26,8.27,8.2,8.489,0.0,6000.0,49410.0,-0.9592326139088737,8.34
HK.82333,长城汽车-R,2023-06-21 00:00:00,8.04,8.07,8.07,8.04,8.293,1e-05,22500.0,180900.0,-2.3002421307505996,8.26
HK.82333,长城汽车-R,2023-06-23 00:00:00,8.0,7.96,8.0,7.96,8.18,0.0,7500.0,59720.0,-1.3630731102850102,8.07
HK.82333,长城汽车-R,2023-06-26 00:00:00,8.0,8.0,8.0,8.0,8.221,0.0,0.0,0.0,0.5025125628140708,7.96
HK.82333,长城汽车-R,2023-06-27 00:00:00,7.94,8.08,8.08,7.94,8.304,0.0,6000.0,47750.0,1.0000000000000009,8.0
HK.82333,长城汽车-R,2023-06-28 00:00:00,8.15,8.15,8.15,8.15,8.376,0.0,0.0,0.0,0.8663366336633699,8.08
HK.82333,长城汽车-R,2023-06-29 00:00:00,7.83,7.89,7.89,7.83,8.108,0.0,2000.0,15660.0,-3.1901840490797624,8.15
HK.82333,长城汽车-R,2023-06-30 00:00:00,8.28,8.28,8.28,8.28,8.509,0.0,0.0,0.0,4.942965779467677,7.89
HK.82333,长城汽车-R,2023-07-03 00:00:00,8.92,8.92,8.92,8.92,9.167,0.0,0.0,0.0,7.729468599033824,8.28
HK.82333,长城汽车-R,2023-07-04 00:00:00,8.9,8.9,8.9,8.9,9.146,0.0,0.0,0.0,-0.22421524663676654,8.92
HK.82333,长城汽车-R,2023-07-05 00:00:00,8.77,8.77,8.77,8.77,9.013,0.0,0.0,0.0,-1.4606741573033795,8.9
HK.82333,长城汽车-R,2023-07-06 00:00:00,8.74,8.74,8.74,8.74,8.982,0.0,0.0,0.0,-0.3420752565564351,8.77
HK.82333,长城汽车-R,2023-07-07 00:00:00,8.65,8.53,8.65,8.53,8.766,0.0,1000.0,8650.0,-2.4027459954233508,8.74
HK.82333,长城汽车-R,2023-07-10 00:00:00,8.58,8.58,8.58,8.58,8.818,0.0,0.0,0.0,0.5861664712778514,8.53
HK.82333,长城汽车-R,2023-07-11 00:00:00,8.72,8.72,8.72,8.72,8.961,0.0,0.0,0.0,1.6317016317016382,8.58
HK.82333,长城汽车-R,2023-07-12 00:00:00,8.74,8.74,8.74,8.74,8.982,0.0,0.0,0.0,0.22935779816513271,8.72
HK.82333,长城汽车-R,2023-07-13 00:00:00,8.75,8.75,8.75,8.75,8.992,0.0,0.0,0.0,0.1144164759725376,8.74
HK.82333,长城汽车-R,2023-07-14 00:00:00,8.35,8.41,8.41,8.35,8.643,0.0,1000.0,8350.0,-3.885714285714284,8.75
HK.82333,长城汽车-R,2023-07-18 00:00:00,8.7,8.7,8.7,8.7,8.941,0.0,0.0,0.0,3.448275862068955,8.41
HK.82333,长城汽车-R,2023-07-19 00:00:00,8.72,8.72,8.72,8.72,8.961,0.0,0.0,0.0,0.22988505747127988,8.7
HK.82333,长城汽车-R,2023-07-20 00:00:00,8.76,8.76,8.76,8.76,9.003,0.0,0.0,0.0,0.45871559633026543,8.72
HK.82333,长城汽车-R,2023-07-21 00:00:00,8.79,8.79,8.79,8.79,9.033,0.0,0.0,0.0,0.34246575342465024,8.76
HK.82333,长城汽车-R,2023-07-24 00:00:00,8.66,8.66,8.66,8.66,8.9,0.0,0.0,0.0,-1.4789533560864507,8.79
HK.82333,长城汽车-R,2023-07-25 00:00:00,9.12,9.07,9.34,8.97,9.321,3e-05,78000.0,719960.0,4.734411085450348,8.66
HK.82333,长城汽车-R,2023-07-26 00:00:00,8.81,8.76,8.81,8.76,9.003,0.0,1000.0,8810.0,-3.417861080485121,9.07
HK.82333,长城汽车-R,2023-07-27 00:00:00,9.06,9.13,9.4,9.06,9.383,3e-05,64500.0,600585.0,4.223744292237455,8.76
