code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.02688,新奥能源,2018-01-02 00:00:00,35.08,36.58,36.73,35.08,26.006,0.00265,2872843.0,163867251.0,5.024404249210451,34.83
HK.02688,新奥能源,2018-01-03 00:00:00,36.98,35.48,37.28,35.33,25.508,0.00195,2106582.0,120408429.0,-3.0071077091306764,36.58
HK.02688,新奥能源,2018-01-04 00:00:00,35.73,34.63,35.98,34.08,25.124,0.00259,2808168.0,157118876.0,-2.395715896279578,35.48
HK.02688,新奥能源,2018-01-05 00:00:00,33.63,32.08,33.88,31.38,23.971,0.00658,7119840.0,379849092.0,-7.363557609009542,34.63
HK.02688,新奥能源,2018-01-08 00:00:00,32.28,31.28,32.28,30.28,23.609,0.00671,7269825.0,376641782.0,-2.493765586034904,32.08
HK.02688,新奥能源,2018-01-09 00:00:00,31.03,30.68,31.78,30.38,23.337,0.00354,3831542.0,198326931.0,-1.9181585677749406,31.28
HK.02688,新奥能源,2018-01-10 00:00:00,31.48,30.58,31.48,30.23,23.292,0.00226,2451201.0,126595332.0,-0.32594524119948315,30.68
HK.02688,新奥能源,2018-01-11 00:00:00,31.58,31.93,32.18,30.83,23.903,0.00852,9225472.0,486528989.0,4.4146500981033405,30.58
HK.02688,新奥能源,2018-01-12 00:00:00,33.43,33.13,33.58,32.33,24.445,0.00635,6877657.0,371673249.0,3.7582211086752357,31.93
HK.02688,新奥能源,2018-01-15 00:00:00,33.98,32.08,33.98,31.98,23.971,0.00514,5566293.0,298389991.0,-3.1693329308783706,33.13
HK.02688,新奥能源,2018-01-16 00:00:00,32.53,33.43,33.58,32.28,24.581,0.00333,3610367.0,194686497.0,4.2082294264339195,32.08
HK.02688,新奥能源,2018-01-17 00:00:00,32.68,32.58,33.08,31.88,24.197,0.00449,4861658.0,259948463.0,-2.5426263834878893,33.43
HK.02688,新奥能源,2018-01-18 00:00:00,33.03,33.23,33.23,32.68,24.491,0.00263,2847812.0,153764331.0,1.9950890116635929,32.58
HK.02688,新奥能源,2018-01-19 00:00:00,33.23,32.33,33.43,32.13,24.084,0.00347,3756733.0,200509129.0,-2.708396027685822,33.23
HK.02688,新奥能源,2018-01-22 00:00:00,32.68,33.23,33.58,32.33,24.491,0.0067,7253730.0,390365749.0,2.783792143519946,32.33
HK.02688,新奥能源,2018-01-23 00:00:00,33.53,34.28,34.83,32.63,24.966,0.00305,3306902.0,182092529.0,3.1597953656334767,33.23
HK.02688,新奥能源,2018-01-24 00:00:00,34.53,36.48,36.48,34.18,25.961,0.00529,5726225.0,322697894.0,6.417736289381551,34.28
HK.02688,新奥能源,2018-01-25 00:00:00,36.78,37.38,38.23,35.93,26.368,0.00641,6937756.0,400507367.0,2.4671052631579102,36.48
HK.02688,新奥能源,2018-01-26 00:00:00,38.13,41.58,41.83,38.13,28.267,0.00838,9070455.0,557302156.0,11.235955056179762,37.38
HK.02688,新奥能源,2018-01-29 00:00:00,41.58,40.68,43.58,39.58,27.86,0.00954,10325437.0,642034465.0,-2.1645021645021614,41.58
HK.02688,新奥能源,2018-01-30 00:00:00,39.08,37.28,39.98,37.18,26.322,0.00776,8403470.0,498269593.0,-8.357915437561452,40.68
HK.02688,新奥能源,2018-01-31 00:00:00,37.58,39.48,39.53,36.23,27.317,0.00664,7185416.0,423704207.0,5.901287553648057,37.28
HK.02688,新奥能源,2018-02-01 00:00:00,38.63,37.78,39.98,37.18,26.549,0.00394,4265816.0,253026234.0,-4.305977710233019,39.48
HK.02688,新奥能源,2018-02-02 00:00:00,39.18,38.63,39.33,37.28,26.933,0.00293,3173141.0,187628044.0,2.249867654843836,37.78
HK.02688,新奥能源,2018-02-05 00:00:00,37.68,35.38,37.68,35.33,25.463,0.0059,6389336.0,362051384.0,-8.413150401242557,38.63
HK.02688,新奥能源,2018-02-06 00:00:00,34.58,32.68,35.58,31.58,24.242,0.00942,10196600.0,541721993.0,-7.631430186546079,35.38
HK.02688,新奥能源,2018-02-07 00:00:00,34.03,36.08,36.43,33.68,25.78,0.00906,9813614.0,551179868.0,10.403916768665846,32.68
HK.02688,新奥能源,2018-02-08 00:00:00,36.43,37.08,37.08,35.18,26.232,0.00527,5707851.0,326553953.0,2.771618625277162,36.08
HK.02688,新奥能源,2018-02-09 00:00:00,37.08,39.48,39.48,33.98,27.317,0.00978,10585737.0,615573212.0,6.47249190938511,37.08
HK.02688,新奥能源,2018-02-12 00:00:00,39.13,39.23,40.38,37.63,27.204,0.00656,7102669.0,426710363.0,-0.6332320162107397,39.48
HK.02688,新奥能源,2018-02-13 00:00:00,39.23,46.429999999,46.429999999,39.18,30.461,0.00836,9049892.0,577968110.0,18.35330104256948,39.23
HK.02688,新奥能源,2018-02-14 00:00:00,43.23,41.48,44.08,39.33,28.222,0.01693,18332499.0,1150017240.0,-10.66121042237049,46.429999999
HK.02688,新奥能源,2018-02-15 00:00:00,40.63,42.78,42.78,40.63,28.81,0.00684,7401538.0,466618027.0,3.134040501446491,41.48
HK.02688,新奥能源,2018-02-20 00:00:00,43.88,43.08,43.88,41.58,28.946,0.00568,6158550.0,390489574.0,0.7012622720897549,42.78
HK.02688,新奥能源,2018-02-21 00:00:00,43.08,43.08,43.179999999,42.48,28.946,0.00533,5778126.0,368970723.0,0.0,43.08
HK.02688,新奥能源,2018-02-22 00:00:00,43.58,41.93,43.58,41.43,28.426,0.00496,5376532.0,338673505.0,-2.6694521819869976,43.08
HK.02688,新奥能源,2018-02-23 00:00:00,41.23,40.38,41.68,39.73,27.725,0.00559,6057250.0,371059664.0,-3.69663725256379,41.93
HK.02688,新奥能源,2018-02-26 00:00:00,40.73,39.13,40.78,38.93,27.159,0.00647,7017973.0,421766766.0,-3.095591877166914,40.38
HK.02688,新奥能源,2018-02-27 00:00:00,40.93,39.33,40.93,37.93,27.25,0.00831,9012488.0,540282723.0,0.5111167901865467,39.13
HK.02688,新奥能源,2018-02-28 00:00:00,38.38,39.38,39.38,37.58,27.272,0.00423,4592622.0,274435119.0,0.12712941774727757,39.33
HK.02688,新奥能源,2018-03-01 00:00:00,39.08,40.38,40.48,38.63,27.725,0.0029,3145050.0,190994165.0,2.5393600812595225,39.38
HK.02688,新奥能源,2018-03-02 00:00:00,40.03,39.88,40.03,38.58,27.498,0.00233,2530904.0,152656799.0,-1.2382367508667658,40.38
HK.02688,新奥能源,2018-03-05 00:00:00,39.58,37.88,39.68,37.88,26.594,0.00228,2473790.0,146331191.0,-5.015045135406218,39.88
HK.02688,新奥能源,2018-03-06 00:00:00,38.33,38.63,39.03,37.88,26.933,0.00228,2469318.0,147054179.0,1.9799366420274551,37.88
HK.02688,新奥能源,2018-03-07 00:00:00,39.03,38.13,39.03,37.68,26.707,0.003,3252470.0,192828614.0,-1.2943308309603934,38.63
HK.02688,新奥能源,2018-03-08 00:00:00,38.23,39.93,40.28,38.23,27.521,0.00267,2890140.0,175936045.0,4.720692368213997,38.13
HK.02688,新奥能源,2018-03-09 00:00:00,40.58,40.43,40.93,40.13,27.747,0.00205,2228358.0,136868719.0,1.252191334835963,39.93
HK.02688,新奥能源,2018-03-12 00:00:00,41.58,41.98,42.58,41.38,28.448,0.0018,1952590.0,122655832.0,3.833786791986142,40.43
HK.02688,新奥能源,2018-03-13 00:00:00,41.48,41.38,42.63,40.58,28.177,0.00164,1774318.0,110561113.0,-1.4292520247736882,41.98
HK.02688,新奥能源,2018-03-14 00:00:00,42.08,40.78,42.08,40.28,27.905,0.00087,941701.0,58151775.0,-1.4499758337361077,41.38
HK.02688,新奥能源,2018-03-15 00:00:00,41.28,41.28,41.58,40.48,28.132,0.00056,603428.0,37387694.0,1.2260912211868562,40.78
HK.02688,新奥能源,2018-03-16 00:00:00,42.03,41.68,42.23,41.08,28.312,0.00219,2371540.0,148387555.0,0.968992248062012,41.28
HK.02688,新奥能源,2018-03-19 00:00:00,41.93,41.08,42.03,40.73,28.041,0.00069,749136.0,46545599.0,-1.4395393474088325,41.68
